"DATASETID","UNITID","DSETTYPEID","NEODSETID","NEODSETDOI","DSETNAME","DSETSOURCE","DSETAGEOLD","DSETAGEYNG","DSETNOTE","CREATED_AT","UPDATED_AT"
139,580,3,57667,"10.21233/R37A-M906","",8,30887,10897,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Matthew Langer, Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
140,591,3,57840,"10.21233/MWXE-V591","",8,3812,2447,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
141,592,3,57871,"10.21233/E5C3-5550","",8,3157,-55,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
142,490,3,57873,"10.21233/8821-KN98","",8,5518,-28,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
143,593,3,57875,"10.21233/1SW4-2P66","",8,22497,-55,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
144,583,3,57982,"10.21233/8PB4-BP29","",8,10290,436,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
145,547,3,57984,"10.21233/N83X-JX34","",8,9404,-45,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
146,548,3,58049,"10.21233/5KSZ-0867","",8,9180,1992,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
147,549,3,58051,"10.21233/0NJH-W197","",8,8289,2300,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
148,550,3,58053,"10.21233/C7HC-BV15","",8,21734,14077,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Matthew Jacques, Jocelyn Lam, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
149,492,3,58057,"10.21233/4J7J-DP20","",8,4351,-62,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
150,516,3,58059,"10.21233/Y8DT-7Z30","",8,4817,-54,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
151,517,3,58061,"10.21233/B74S-V693","",8,7651,-56,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
152,551,3,58106,"10.21233/AHVB-AH69","",8,13321,-45,"Record originally compiled into IndoPacific Pollen Database (IPPD) by Herbert et al. and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams, in partnership with Suzette Flantua and HOPE project.","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
153,594,3,58108,"10.21233/1482-B927","",8,6662,374,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
154,575,3,58182,"10.21233/6RKH-K418","",8,2558,7,"","2024-03-12 10:19:37.893 +0100","2024-03-12 10:19:37.893 +0100"
155,18,1,7914,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
156,576,1,7937,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
157,589,1,8327,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
158,586,1,8362,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
159,532,1,8767,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
160,244,1,14620,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
161,120,1,14627,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
162,574,1,14895,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
163,574,16,14896,"10.21233/k8mw-mx37","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
164,573,1,14920,"","",8,NA,NA,"The midpoints for the radiocarbon dates are considered to be the centres of gravity of the organic portions and thus are not the mean depths of the sections (Hope, 1976).","2024-04-08 09:55:27.304 +0200",""
165,172,1,14939,"","",8,NA,NA,"Depths are median depths based on centroid of organic matter content rather than average depths.","2024-04-08 09:55:27.304 +0200",""
166,533,1,14958,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
167,534,1,14960,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
168,571,1,14962,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
169,73,1,14967,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
170,425,1,14970,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
171,421,1,14987,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
172,421,16,14988,"10.21233/fj5m-p505","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
173,588,1,15004,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
174,568,1,15010,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
175,568,14,15011,"10.21233/kkb9-dk29","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
176,570,16,15014,"10.21233/tpyz-5923","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
177,569,14,15016,"10.21233/11b9-ab72","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
178,145,1,15057,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
179,535,1,15159,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
180,536,1,15289,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
181,537,1,16208,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
182,567,1,20266,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
183,567,14,20267,"10.21233/6t0g-4y92","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
184,567,25,20268,"10.21233/8any-e328","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
185,567,8,20269,"10.21233/dcez-px91","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
186,567,11,20270,"10.21233/vcg3-xs85","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
187,567,4,20271,"10.21233/5cs2-t576","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
188,567,23,20272,"10.21233/w841-5t06","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
189,567,16,20275,"","",8,NA,NA,"charcoal in pollen counts","2024-04-08 09:55:27.304 +0200",""
190,285,1,25510,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
191,364,1,32423,"","",8,NA,NA,"Depth 200 and 225 were selected as outliers in the age model. See Publication for explanation.","2024-04-08 09:55:27.304 +0200",""
192,364,34,32424,"10.21233/b8fn-z854","",8,NA,NA,"Depths are the tops of the sections.","2024-04-08 09:55:27.304 +0200",""
193,364,18,33805,"10.21233/s8c2-8339","",8,NA,NA,"XRF data were obtained using an Itrax X-ray fluorescence (ITRAX) core scanner at the Australian Nuclear Science and Technology Organisation (ANSTO) at a resolution of 0.5 mm using a molybdenum (Mo) tube set at 30 kV and 55 mA with a dwell time of 10s. Data are point measurments.","2024-04-08 09:55:27.304 +0200",""
194,364,14,34032,"10.21233/38ac-xp83","",8,NA,NA,"Depths are the tops of the sections. Organic carbon (C%), nitrogen (N%), d13C and d15N were analysed at Australian Nuclear Science and Technology Organisation (ANSTO) at a resolution of 2–4 cm (ca. 50–530 years) using an Elementar VarioMICRO Elemental Analyser (C% and N%) and an Isotope Ratio Mass Spectrometer (δ13C and δ15N) with a CO2 trap (NaOH). An absence of carbonates was determined throughout the sequence by testing with HCl. The δ13C results were normalized to an IAEA C8 reference (Le Clercq, Van Der Plicht, & Gr€oning, 1998) and δ15N to IAEA N-2 (B€ohlke & Coplen, 1995) and USGS-25 (B€ohlke & Coplen, 1995) normalization references. Values for C% and N% were normalized to “High Organic Sediment Standard OAS.”","2024-04-08 09:55:27.304 +0200",""
195,584,1,34551,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
196,566,1,41503,"","RAIDA4 - Geochronology",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
197,566,4,41504,"10.21233/qkg9-9n22","RAIDA4 - Directly dated plant macrofossils",8,NA,NA,"Directly dated plant mapcrofossils.","2024-04-08 09:55:27.304 +0200",""
198,566,4,41507,"10.21233/yb3g-5g32","RAIDA4 - Plant macrofossil",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
199,566,25,41509,"10.21233/dzpy-jq66","RAIDA4 - Magnetic susceptibility",8,NA,NA,"Magnetic susceptibility measured with a Bartington MS loop .","2024-04-08 09:55:27.304 +0200",""
200,566,8,41510,"10.21233/8vxm-bz38","RAIDA4 - Insect",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
201,596,1,41511,"","EA200 - Geochronology",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
202,596,4,41512,"10.21233/q6dc-x564","EA200 - Plant macrofossil",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
203,596,25,41516,"10.21233/0e14-k532","EA200 - Magnetic susceptibility",8,NA,NA,"Measurements made with an ITrax micro XRF scanner.","2024-04-08 09:55:27.304 +0200",""
204,433,1,41517,"","EA204 - Geochronology",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
205,433,4,41518,"10.21233/bhz5-5p79","EA204 - Plant macrofossil",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
206,433,4,41519,"10.21233/yyfv-qz81","EA204 - Wood charcoal",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
207,433,25,41523,"10.21233/8kd5-by05","EA204 - Magnetic suceptibility",8,NA,NA,"Measurements made with an ITrax micro XRF scanner.","2024-04-08 09:55:27.304 +0200",""
208,433,8,41528,"10.21233/g5hx-zw54","EA204 - Insect",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
209,565,1,41529,"","TUKOU2 - Geochronology",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
210,565,4,41530,"10.21233/240d-jy91","TUKOU2 - Plant macrofossil",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
211,565,25,41534,"10.21233/sxb1-1j08","TUKOU2 - Magnetic susceptibility",8,NA,NA,"Measurements made with a MS/2 Bartington Susceptibility Meter and core loop at 2 cm intervals.","2024-04-08 09:55:27.304 +0200",""
212,565,8,41535,"10.21233/3rh5-gr27","TUKOU2 - Insect",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
213,428,1,45645,"","",8,NA,NA,"Samples with laboratory numbers commencing with “Beta-” were analysed by Beta Analytics, with “Wk-” by Waikato Radiocarbon Laboratory, and with “OZ” by the Australian Nuclear Science and Technology Organisation","2024-04-08 09:55:27.304 +0200",""
214,428,4,45646,"10.21233/f6tz-zh31","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
215,564,1,46529,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
216,564,23,46530,"10.21233/KM4W-DA74","",8,NA,NA,"Zero datum for depth is at the bottom of the section. Depths are in meters. Depths in publication have been multiplied by -1.","2024-04-08 09:55:27.304 +0200",""
217,563,23,46532,"10.21233/03ZF-V285","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
218,118,1,47109,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
219,562,1,48646,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
220,561,1,48648,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
221,560,1,48650,"","",8,NA,NA,"Dates do not appear in Hope et al. (1999)","2024-04-08 09:55:27.304 +0200",""
222,559,1,48652,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
223,238,1,48654,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
224,238,16,48655,"10.21233/1DJ0-ZV16","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
225,558,1,48665,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
226,428,24,48758,"10.21233/G9KG-GV50","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
227,428,4,48759,"10.21233/MH6W-8D34","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
228,539,1,49425,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
229,21,1,50064,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
230,465,1,50115,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
231,147,1,50118,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
232,321,1,50121,"","",8,NA,NA,"Depths 71 cm and 172 cm are identified as outliers due to post-acid/base/acid treatment weights and age-depth model results.","2024-04-08 09:55:27.304 +0200",""
233,524,1,50123,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
234,124,1,50299,"","",8,NA,NA,"Age determinations by amino acid racemization","2024-04-08 09:55:27.304 +0200",""
235,459,1,51927,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
236,129,1,51929,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
237,29,1,51931,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
238,138,1,51973,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
239,101,1,52026,"","",8,NA,NA,"Sample 110, 140 and 141 not included in age-depth model in publication due to potential contamination","2024-04-08 09:55:27.304 +0200",""
240,497,1,52029,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
241,577,1,52033,"","",8,NA,NA,"Samples for radiocarbon dating were taken from near to the base of the pollen cores and at important changes in sediment stratigraphy and pollen composition. Generally, samples were pretreated with hot hydrochloric acid to remove carbonate.","2024-04-08 09:55:27.304 +0200",""
242,161,1,52052,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
243,217,1,52056,"","",8,NA,NA,"HM: changed UNITID for this DS from 217 to 216. Verification pending","2024-04-08 09:55:27.304 +0200","2024-04-18 08:27:05.249 +0200"
244,578,1,52241,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
245,603,1,52243,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
246,605,1,52244,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
247,595,1,52486,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
248,602,1,52558,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
249,557,1,52563,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
250,606,1,52565,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
251,320,1,52567,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
252,284,1,52569,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
253,540,1,52573,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
254,556,1,52579,"","",8,NA,NA,"The radiocarbon date was obtained on organic lake sediments immediately below the upper mud layer, and indicates that the lake probably contains little sediment younger than 25,000 yr B.P. There is a possibility that isolated samples may be older than the reported age, and reflect younger carbon moving down profile.","2024-04-08 09:55:27.304 +0200",""
255,587,1,52581,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
256,555,1,52583,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
257,338,1,52585,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
258,192,1,52589,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
259,554,1,52591,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
260,525,1,52593,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
261,270,1,52766,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
262,553,1,52768,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
263,541,1,53116,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
264,542,1,53122,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
265,590,1,53124,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
266,30,1,53139,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
267,445,1,53141,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
268,489,1,53143,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
269,607,1,53145,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
270,128,1,53252,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
271,543,1,53254,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
272,579,1,53256,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
273,544,1,53258,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
274,249,1,54466,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
275,597,1,54470,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
276,552,1,54472,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
277,9,1,54474,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
278,91,1,54511,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
279,327,1,57630,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
280,132,1,57632,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
281,581,1,57636,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
282,585,1,57638,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
283,545,1,57640,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
284,359,1,57642,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
285,531,1,57649,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
286,546,1,57651,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
287,582,1,57664,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
288,580,1,57666,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
289,591,1,57839,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
290,592,1,57870,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
291,490,1,57872,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
292,593,1,57874,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
293,583,1,57981,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
294,547,1,57983,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
295,548,1,58048,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
296,549,1,58050,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
297,550,1,58052,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
298,492,1,58056,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
299,516,1,58058,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
300,517,1,58060,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
301,551,1,58105,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
302,594,1,58107,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
303,575,1,58181,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
304,598,1,58201,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
305,598,3,58202,"","Kelela90_pollen",8,NA,NA,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)","2024-04-08 09:55:27.304 +0200",""
306,600,1,58410,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
307,600,3,58411,"","Haeapugua1990_Core6_pollen",8,NA,NA,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Grace Roper, Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)","2024-04-08 09:55:27.304 +0200",""
308,601,1,58412,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
309,601,3,58413,"","Tugupugua1998_pollen",8,NA,NA,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Michael Rehani,Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)","2024-04-08 09:55:27.304 +0200",""
310,608,1,58422,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
311,608,37,58423,"","",8,NA,NA,"The number of charcoal fragments is per sample, note that the sample volume differs between samples.","2024-04-08 09:55:27.304 +0200",""
312,608,36,58424,"","",8,NA,NA,"This is the number of microcharcoal fragments counted alongside pollen.","2024-04-08 09:55:27.304 +0200",""
313,608,3,58425,"","EmaotulPollen",8,NA,NA,"Many unknown types (Van1-Van73) were identified but could not be assigned a taxon name.","2024-04-08 09:55:27.304 +0200",""
314,610,1,58445,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
315,610,37,58446,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
316,610,36,58447,"","",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
317,610,3,58448,"","NgofePollen",8,NA,NA,"","2024-04-08 09:55:27.304 +0200",""
