"DATASETID","UNITID","DSETTYPEID","NEODSETID","NEODSETDOI","DSETNAME","DSETSOURCE","DSETAGEOLD","DSETAGEYNG","DSETNOTE"
234,124,1,50299,"","",8,NA,NA,"Age determinations by amino acid racemization"
235,459,1,51927,"","",8,NA,NA,""
236,129,1,51929,"","",8,NA,NA,""
237,29,1,51931,"","",8,NA,NA,""
238,138,1,51973,"","",8,NA,NA,""
239,101,1,52026,"","",8,NA,NA,"Sample 110, 140 and 141 not included in age-depth model in publication due to potential contamination"
240,497,1,52029,"","",8,NA,NA,""
241,577,1,52033,"","",8,NA,NA,"Samples for radiocarbon dating were taken from near to the base of the pollen cores and at important changes in sediment stratigraphy and pollen composition. Generally, samples were pretreated with hot hydrochloric acid to remove carbonate."
242,161,1,52052,"","",8,NA,NA,""
243,217,1,52056,"","",8,NA,NA,"HM: changed UNITID for this DS from 217 to 216. Verification pending"
244,578,1,52241,"","",8,NA,NA,""
245,603,1,52243,"","",8,NA,NA,""
246,605,1,52244,"","",8,NA,NA,""
247,595,1,52486,"","",8,NA,NA,""
248,602,1,52558,"","",8,NA,NA,""
249,557,1,52563,"","",8,NA,NA,""
250,606,1,52565,"","",8,NA,NA,""
251,320,1,52567,"","",8,NA,NA,""
252,284,1,52569,"","",8,NA,NA,""
253,540,1,52573,"","",8,NA,NA,""
254,556,1,52579,"","",8,NA,NA,"The radiocarbon date was obtained on organic lake sediments immediately below the upper mud layer, and indicates that the lake probably contains little sediment younger than 25,000 yr B.P. There is a possibility that isolated samples may be older than the reported age, and reflect younger carbon moving down profile."
255,587,1,52581,"","",8,NA,NA,""
256,555,1,52583,"","",8,NA,NA,""
257,338,1,52585,"","",8,NA,NA,""
258,192,1,52589,"","",8,NA,NA,""
259,554,1,52591,"","",8,NA,NA,""
260,525,1,52593,"","",8,NA,NA,""
261,270,1,52766,"","",8,NA,NA,""
262,553,1,52768,"","",8,NA,NA,""
263,541,1,53116,"","",8,NA,NA,""
264,542,1,53122,"","",8,NA,NA,""
265,590,1,53124,"","",8,NA,NA,""
266,30,1,53139,"","",8,NA,NA,""
267,445,1,53141,"","",8,NA,NA,""
268,489,1,53143,"","",8,NA,NA,""
269,607,1,53145,"","",8,NA,NA,""
270,128,1,53252,"","",8,NA,NA,""
271,543,1,53254,"","",8,NA,NA,""
272,579,1,53256,"","",8,NA,NA,""
273,544,1,53258,"","",8,NA,NA,""
274,249,1,54466,"","",8,NA,NA,""
275,597,1,54470,"","",8,NA,NA,""
276,552,1,54472,"","",8,NA,NA,""
277,9,1,54474,"","",8,NA,NA,""
278,91,1,54511,"","",8,NA,NA,""
279,327,1,57630,"","",8,NA,NA,""
280,132,1,57632,"","",8,NA,NA,""
281,581,1,57636,"","",8,NA,NA,""
282,585,1,57638,"","",8,NA,NA,""
283,545,1,57640,"","",8,NA,NA,""
284,359,1,57642,"","",8,NA,NA,""
285,531,1,57649,"","",8,NA,NA,""
286,546,1,57651,"","",8,NA,NA,""
287,582,1,57664,"","",8,NA,NA,""
288,580,1,57666,"","",8,NA,NA,""
289,591,1,57839,"","",8,NA,NA,""
290,592,1,57870,"","",8,NA,NA,""
291,490,1,57872,"","",8,NA,NA,""
292,593,1,57874,"","",8,NA,NA,""
293,583,1,57981,"","",8,NA,NA,""
294,547,1,57983,"","",8,NA,NA,""
295,548,1,58048,"","",8,NA,NA,""
296,549,1,58050,"","",8,NA,NA,""
297,550,1,58052,"","",8,NA,NA,""
298,492,1,58056,"","",8,NA,NA,""
299,516,1,58058,"","",8,NA,NA,""
300,517,1,58060,"","",8,NA,NA,""
301,551,1,58105,"","",8,NA,NA,""
302,594,1,58107,"","",8,NA,NA,""
303,575,1,58181,"","",8,NA,NA,""
304,598,1,58201,"","",8,NA,NA,""
305,598,3,58202,"","Kelela90_pollen",8,NA,NA,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Michael Rehani, Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)"
306,600,1,58410,"","",8,NA,NA,""
307,600,3,58411,"","Haeapugua1990_Core6_pollen",8,NA,NA,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Grace Roper, Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)"
308,601,1,58412,"","",8,NA,NA,""
309,601,3,58413,"","Tugupugua1998_pollen",8,NA,NA,"Record originally compiled into Indo-Pacific Pollen Database (IPPD) by Annika Herbert, Geoff Hope and Simon Haberle, and prepared for upload to Neotoma by Michael Rehani,Adrian George and Jack Williams (UW-Madison), in partnership with Suzette Flantua and HOPE project (UiB)"
310,608,1,58422,"","",8,NA,NA,""
311,608,37,58423,"","",8,NA,NA,"The number of charcoal fragments is per sample, note that the sample volume differs between samples."
312,608,36,58424,"","",8,NA,NA,"This is the number of microcharcoal fragments counted alongside pollen."
313,608,3,58425,"","EmaotulPollen",8,NA,NA,"Many unknown types (Van1-Van73) were identified but could not be assigned a taxon name."
314,610,1,58445,"","",8,NA,NA,""
315,610,37,58446,"","",8,NA,NA,""
316,610,36,58447,"","",8,NA,NA,""
317,610,3,58448,"","NgofePollen",8,NA,NA,""
